threshold,balanced_accuracy,recall,precision,f1
0.001,0.5,1.0,0.06350806451612903,0.11943127962085308
0.002,0.5,1.0,0.06350806451612903,0.11943127962085308
0.003,0.5,1.0,0.06350806451612903,0.11943127962085308
0.004,0.5,1.0,0.06350806451612903,0.11943127962085308
0.005,0.5,1.0,0.06350806451612903,0.11943127962085308
0.006,0.5,1.0,0.06350806451612903,0.11943127962085308
0.007,0.5,1.0,0.06350806451612903,0.11943127962085308
0.008,0.5,1.0,0.06350806451612903,0.11943127962085308
0.009000000000000001,0.5,1.0,0.06350806451612903,0.11943127962085308
0.010000000000000002,0.5,1.0,0.06350806451612903,0.11943127962085308
0.011,0.5,1.0,0.06350806451612903,0.11943127962085308
0.012,0.5,1.0,0.06350806451612903,0.11943127962085308
0.013000000000000001,0.5,1.0,0.06350806451612903,0.11943127962085308
0.014000000000000002,0.5,1.0,0.06350806451612903,0.11943127962085308
0.015,0.5,1.0,0.06350806451612903,0.11943127962085308
0.016,0.5,1.0,0.06350806451612903,0.11943127962085308
0.017,0.5,1.0,0.06350806451612903,0.11943127962085308
0.018000000000000002,0.5,1.0,0.06350806451612903,0.11943127962085308
0.019000000000000003,0.5,1.0,0.06350806451612903,0.11943127962085308
0.02,0.5,1.0,0.06350806451612903,0.11943127962085308
0.021,0.5,1.0,0.06350806451612903,0.11943127962085308
0.022000000000000002,0.5,1.0,0.06350806451612903,0.11943127962085308
0.023,0.5,1.0,0.06350806451612903,0.11943127962085308
0.024,0.5,1.0,0.06350806451612903,0.11943127962085308
0.025,0.5,1.0,0.06350806451612903,0.11943127962085308
0.026000000000000002,0.5,1.0,0.06350806451612903,0.11943127962085308
0.027000000000000003,0.5,1.0,0.06350806451612903,0.11943127962085308
0.028,0.5,1.0,0.06350806451612903,0.11943127962085308
0.029,0.5,1.0,0.06350806451612903,0.11943127962085308
0.030000000000000002,0.5,1.0,0.06350806451612903,0.11943127962085308
0.031,0.5,1.0,0.06350806451612903,0.11943127962085308
0.032,0.5481700753498385,1.0,0.06980609418282549,0.1305023303987571
0.033,0.5797922326447622,0.9841269841269841,0.0748792270531401,0.13916947250280584
0.034,0.5797922326447622,0.9841269841269841,0.0748792270531401,0.13916947250280584
0.035,0.601256684948827,0.9603174603174603,0.07913669064748201,0.14622356495468278
0.036000000000000004,0.601256684948827,0.9603174603174603,0.07913669064748201,0.14622356495468278
0.037000000000000005,0.6171382438874365,0.9285714285714286,0.08315565031982942,0.15264187866927592
0.038,0.6171382438874365,0.9285714285714286,0.08315565031982942,0.15264187866927592
0.039,0.635642523963299,0.9047619047619048,0.08830364058869093,0.16090331686661963
0.04,0.635642523963299,0.9047619047619048,0.08830364058869093,0.16090331686661963
0.041,0.6462102961026535,0.8650793650793651,0.09292412617220801,0.16782140107775212
0.042,0.6462102961026535,0.8650793650793651,0.09292412617220801,0.16782140107775212
0.043000000000000003,0.6513275923932544,0.8333333333333334,0.09624197983501374,0.1725554642563681
0.044000000000000004,0.6513275923932544,0.8333333333333334,0.09624197983501374,0.1725554642563681
0.045,0.649315700445948,0.7857142857142857,0.09860557768924302,0.1752212389380531
0.046,0.649315700445948,0.7857142857142857,0.09860557768924302,0.1752212389380531
0.047,0.6538264390793993,0.7619047619047619,0.10212765957446808,0.1801125703564728
0.048,0.6538264390793993,0.7619047619047619,0.10212765957446808,0.1801125703564728
0.049,0.645424334068037,0.7063492063492064,0.10336817653890824,0.18034447821681865
0.05,0.645424334068037,0.7063492063492064,0.10336817653890824,0.18034447821681865
0.051000000000000004,0.645424334068037,0.7063492063492064,0.10336817653890824,0.18034447821681865
